time	mem usage	cput0	cput1	cput2	cput3	cput4	cput5	cput6	cput7	cput8	cput9	cput10	cput11	cput12	cput13	cput14	cput15	cput16	cput17	cput18	cput19	cput20	cput21	cput22	cput23	cput24	cput25	cput26	cput27	cput28	cput29	cput30	cput31
2020-12-19 22:54:06.159937	1.1	100.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0
2020-12-19 22:54:06.661535	5.4	93.9	88.2	96.0	74.0	89.8	76.0	82.0	70.0	94.0	88.0	93.9	86.3	93.9	79.6	90.0	76.0	67.3	63.5	70.6	68.6	98.0	31.4	87.8	70.0	29.4	30.0	31.4	31.4	30.0	31.4	26.5	30.0
2020-12-19 22:54:07.162967	6.05	98.0	98.0	98.0	98.0	98.0	95.9	96.1	98.0	96.0	96.0	98.0	98.0	97.9	96.0	98.0	98.0	44.0	4.0	10.4	47.1	86.3	0.0	10.2	85.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
2020-12-19 22:54:07.664316	6.53	96.1	98.0	98.0	98.0	98.0	98.0	98.0	96.1	100.0	98.0	98.0	100.0	98.0	98.0	98.0	98.1	16.0	0.0	0.0	6.1	20.0	2.0	0.0	30.6	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
2020-12-19 22:54:08.165635	6.83	96.0	94.0	95.9	95.9	93.7	94.0	94.2	92.3	96.0	95.9	93.9	93.9	91.7	93.9	93.7	93.9	0.0	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-12-19 22:54:08.666947	7.02	51.1	53.1	55.1	53.1	58.3	53.1	52.9	57.1	51.9	50.0	54.2	62.0	46.7	44.9	57.1	43.7	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
2020-12-19 22:54:09.168465	7.15	19.6	22.9	23.5	19.1	27.5	22.4	20.8	16.7	24.5	18.2	15.6	17.8	26.0	25.5	24.5	22.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-12-19 22:54:09.670224	7.32	30.6	32.7	29.2	21.3	25.5	26.5	18.2	19.6	23.9	26.5	26.5	23.4	29.4	25.0	26.5	22.9	2.0	0.0	0.0	28.6	32.7	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-12-19 22:54:10.171824	7.34	28.6	27.7	26.7	31.4	33.3	29.2	26.1	30.0	28.6	27.7	25.5	28.6	30.0	25.5	32.7	27.7	0.0	0.0	0.0	32.7	26.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
2020-12-19 22:54:10.673431	7.35	34.0	27.7	31.4	31.4	28.6	30.0	30.6	27.1	25.5	29.2	24.4	30.0	26.1	34.0	30.6	25.5	0.0	0.0	0.0	30.6	26.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
