time	mem usage	cput0	cput1	cput2	cput3	cput4	cput5	cput6	cput7	cput8	cput9	cput10	cput11	cput12	cput13	cput14	cput15	cput16	cput17	cput18	cput19	cput20	cput21	cput22	cput23	cput24	cput25	cput26	cput27	cput28	cput29	cput30	cput31
2020-12-19 23:06:29.574908	1.09	0.0	100.0	100.0	0.0	100.0	0.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	100.0	100.0	100.0
2020-12-19 23:06:30.076519	5.31	94.0	86.0	87.5	83.7	85.7	85.7	85.4	85.7	85.7	85.7	87.8	85.1	87.2	83.7	85.7	87.5	96.2	95.9	98.0	94.0	94.0	95.9	94.0	94.0	48.0	48.0	92.0	47.1	52.0	65.3	60.0	46.0
2020-12-19 23:06:30.578204	6.29	92.0	90.2	86.3	82.0	93.6	86.0	91.8	83.7	87.8	86.0	87.8	83.0	86.0	87.8	86.0	84.0	93.9	92.0	90.0	93.9	89.6	94.0	92.0	93.9	0.0	2.0	6.2	0.0	0.0	59.6	70.0	0.0
2020-12-19 23:06:31.080057	6.99	98.0	100.0	96.1	95.9	96.1	95.8	98.0	95.9	96.1	96.2	100.0	94.0	94.2	98.0	96.0	96.0	94.0	93.9	96.0	92.3	96.1	98.0	94.1	98.0	4.1	0.0	0.0	0.0	0.0	0.0	60.8	0.0
2020-12-19 23:06:31.581686	7.41	87.2	87.8	88.0	90.0	89.4	88.0	87.8	85.1	89.8	89.8	87.5	88.2	88.0	86.0	90.2	87.8	87.2	86.0	86.3	83.7	88.0	82.4	88.0	85.7	1.9	0.0	2.0	2.0	0.0	0.0	10.0	0.0
2020-12-19 23:06:32.082861	7.63	45.8	49.1	43.7	45.8	46.2	50.0	42.6	51.0	47.9	45.8	54.0	44.7	50.0	50.9	46.8	44.9	28.6	33.3	26.1	26.1	33.3	34.7	31.2	35.3	14.6	0.0	2.0	0.0	0.0	0.0	2.0	0.0
2020-12-19 23:06:32.584358	7.72	18.7	11.1	13.0	21.6	11.1	14.6	14.9	16.7	16.7	19.6	16.7	16.3	16.7	14.9	16.7	10.9	16.7	22.0	14.9	16.7	18.7	11.1	16.7	21.6	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:33.085817	7.81	18.4	16.3	18.0	11.1	21.2	16.7	11.1	16.7	19.6	13.0	12.8	21.6	12.8	16.3	14.6	14.6	16.7	14.9	18.4	13.0	14.6	20.4	13.0	17.0	5.9	0.0	0.0	2.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:33.587184	7.89	20.4	16.7	16.7	17.0	16.7	10.9	19.6	12.8	18.4	20.0	14.6	16.7	14.6	16.7	21.6	12.8	14.9	14.6	16.7	16.3	20.0	18.0	17.0	13.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:34.088620	8.22	27.5	24.5	28.6	26.0	25.0	25.0	26.5	26.0	28.0	19.1	20.8	20.8	20.8	16.3	17.0	19.1	22.6	10.2	18.0	16.3	8.7	14.0	15.7	15.4	0.0	0.0	2.0	0.0	0.0	2.0	17.6	0.0
2020-12-19 23:06:34.590099	8.23	22.4	20.8	23.5	22.4	17.4	24.0	20.8	20.8	23.5	22.4	19.1	22.4	24.0	17.4	25.5	27.5	19.1	24.5	24.0	19.1	26.9	22.9	22.4	21.3	10.2	0.0	0.0	2.0	0.0	0.0	15.4	0.0
2020-12-19 23:06:35.091512	8.23	20.8	22.4	17.4	23.5	20.4	23.5	22.4	24.0	28.8	22.4	27.8	15.2	17.4	24.0	24.5	23.5	22.4	27.5	24.0	26.0	19.1	23.5	27.5	20.8	27.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:35.592959	8.23	22.9	17.4	23.5	20.8	17.0	22.4	25.5	22.4	22.4	17.0	19.1	22.4	22.4	23.5	22.0	22.4	26.9	20.8	22.9	25.5	17.8	26.9	20.8	28.3	22.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:36.094390	8.28	24.5	25.5	24.5	20.8	24.0	22.0	22.4	23.5	25.5	22.4	20.8	25.5	26.0	17.4	22.4	21.3	17.8	22.4	24.0	22.9	20.8	27.5	17.4	19.1	20.8	0.0	0.0	2.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:36.595839	8.33	19.1	25.5	20.8	15.6	17.4	19.1	28.3	24.0	26.0	19.6	22.4	24.0	18.7	19.1	22.4	18.8	27.5	22.4	20.8	25.5	26.9	17.4	19.6	22.9	20.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:37.097307	8.32	22.9	22.4	29.6	22.4	26.9	19.1	20.4	24.0	22.4	26.0	13.6	24.0	20.8	28.3	22.9	20.8	18.7	25.5	22.4	25.5	22.4	19.1	19.1	24.0	12.0	0.0	0.0	0.0	0.0	0.0	11.8	0.0
2020-12-19 23:06:37.598738	8.35	20.4	23.5	13.6	27.8	20.8	26.9	26.9	24.0	20.8	15.6	18.7	22.0	25.5	19.1	20.4	22.4	26.0	21.3	24.5	22.9	26.0	19.1	25.5	22.4	12.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0
2020-12-19 23:06:38.100158	8.37	15.2	14.9	18.7	18.7	17.0	23.5	25.5	20.4	18.7	17.0	20.4	20.4	20.8	25.0	22.0	20.0	20.8	25.0	15.6	25.9	22.0	18.7	20.4	18.7	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:38.601585	8.42	18.4	18.0	20.0	18.4	19.6	16.3	21.6	16.3	14.9	13.0	23.1	16.7	14.6	18.0	24.5	20.0	20.0	15.2	16.7	21.6	23.1	24.5	16.7	20.0	0.0	0.0	0.0	0.0	0.0	0.0	18.4	0.0
2020-12-19 23:06:39.103035	8.43	9.1	18.0	18.0	21.2	18.4	16.3	19.6	21.6	18.0	21.6	18.0	20.0	25.9	16.7	16.3	16.7	18.4	16.7	16.7	21.6	21.6	21.6	18.4	14.9	0.0	0.0	10.0	2.0	0.0	0.0	6.2	0.0
2020-12-19 23:06:39.604539	8.46	14.6	16.7	21.6	21.2	14.6	12.8	19.6	19.6	16.3	18.0	18.4	14.6	14.6	18.0	18.0	19.6	20.4	14.9	20.0	16.7	14.9	20.0	21.6	20.0	0.0	0.0	0.0	0.0	0.0	0.0	19.6	0.0
2020-12-19 23:06:40.106042	8.47	15.2	21.6	18.4	16.7	16.7	16.7	14.6	19.6	14.6	18.4	21.6	18.4	18.4	14.6	16.3	20.0	20.0	16.7	20.0	20.4	18.4	16.7	20.0	16.7	0.0	0.0	0.0	0.0	0.0	0.0	21.6	0.0
2020-12-19 23:06:40.607503	8.51	14.9	16.3	16.7	22.6	18.0	12.8	18.4	16.7	20.0	19.6	14.6	13.0	20.0	20.0	20.0	12.8	16.7	18.4	22.0	18.4	24.5	21.6	16.7	18.4	0.0	0.0	6.0	2.0	0.0	0.0	17.3	0.0
2020-12-19 23:06:41.108946	8.56	16.7	20.0	20.0	20.0	18.4	16.3	16.3	18.0	14.9	20.0	14.9	18.0	21.6	16.3	12.8	27.3	20.0	23.1	20.0	20.0	23.5	20.0	20.4	18.7	0.0	0.0	0.0	0.0	0.0	0.0	18.4	0.0
2020-12-19 23:06:41.610430	8.57	14.9	12.8	18.4	14.9	14.6	12.8	18.4	18.0	19.6	20.0	21.2	21.6	20.0	14.9	23.1	18.0	20.4	21.6	18.4	20.0	18.4	18.4	20.4	21.6	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:42.111848	8.57	18.4	23.1	18.4	21.6	18.0	23.1	12.8	12.8	21.6	16.3	21.2	19.6	18.0	20.0	16.3	18.0	18.4	25.9	18.4	23.1	18.4	16.7	21.6	25.0	0.0	0.0	15.4	2.0	0.0	0.0	6.2	0.0
2020-12-19 23:06:42.613288	8.63	13.0	18.0	14.6	21.6	20.0	14.6	16.3	14.9	16.7	13.0	13.0	13.0	21.6	16.3	21.6	24.5	20.0	16.7	20.0	18.4	26.4	14.9	23.1	21.6	0.0	0.0	16.7	0.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:43.114759	8.67	14.9	20.0	14.9	23.1	12.8	21.6	16.7	14.6	18.4	10.9	14.9	18.0	21.6	14.9	16.7	16.7	14.9	17.0	22.0	18.4	18.4	14.9	20.4	13.3	2.0	0.0	21.6	0.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:43.616206	8.67	14.9	8.9	14.9	19.6	22.6	16.3	19.6	18.0	16.3	16.3	16.3	13.0	19.6	20.0	16.3	10.9	22.0	16.3	16.7	21.6	14.9	18.4	18.4	20.0	0.0	0.0	16.7	2.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:44.117639	8.7	16.7	20.0	14.6	20.0	18.4	21.2	20.0	16.3	14.9	11.1	18.4	13.0	16.7	16.3	16.7	18.4	18.4	15.2	16.7	14.9	16.7	15.2	14.9	20.0	0.0	0.0	0.0	0.0	0.0	0.0	19.6	0.0
2020-12-19 23:06:44.619064	8.74	17.0	16.7	18.4	14.6	21.6	16.3	16.3	20.0	19.6	18.0	13.0	14.6	20.0	23.1	18.0	16.3	14.9	20.0	17.0	20.0	21.6	13.0	14.9	13.3	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:45.120551	8.76	16.7	14.6	14.6	20.0	18.0	18.0	16.7	14.6	14.9	20.0	16.3	16.7	19.6	20.0	21.2	13.0	20.0	13.0	18.4	21.6	17.0	20.0	18.7	24.1	0.0	0.0	8.0	2.0	0.0	0.0	10.2	0.0
2020-12-19 23:06:45.621979	8.79	20.0	21.6	18.7	14.6	14.9	14.9	16.3	18.4	18.0	16.3	14.9	19.6	14.9	20.0	16.7	22.6	18.4	17.0	16.7	20.0	17.0	22.0	18.4	18.4	0.0	0.0	16.7	0.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:46.123396	8.82	18.4	25.9	12.8	11.1	16.7	22.6	18.4	11.1	16.7	20.0	19.6	20.0	18.4	18.0	12.8	20.0	22.0	13.0	13.0	18.4	24.5	23.1	20.4	17.0	0.0	0.0	18.4	0.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:46.624882	8.83	21.6	14.6	18.4	10.9	14.9	18.4	16.3	21.2	18.4	18.0	20.0	16.7	14.6	21.6	14.9	20.0	21.6	23.1	16.7	18.0	20.0	18.4	18.4	16.7	0.0	0.0	14.9	2.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:47.126332	8.88	18.4	23.1	21.2	20.0	12.8	19.6	19.6	14.6	19.6	16.7	16.7	12.8	18.4	16.3	21.2	14.9	13.0	20.0	17.0	18.7	20.0	21.6	21.6	21.6	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:47.627780	8.91	11.1	14.9	20.0	11.1	21.6	18.4	18.4	14.9	20.0	16.3	24.1	12.8	14.9	14.9	18.4	19.6	24.5	18.4	18.4	23.1	20.4	20.4	20.4	25.9	0.0	0.0	16.7	0.0	0.0	0.0	0.0	0.0
2020-12-19 23:06:48.129217	8.92	20.0	16.7	20.0	16.3	12.8	19.6	18.0	12.8	21.2	18.4	21.6	23.1	19.6	24.5	14.6	21.6	14.9	26.4	20.4	18.4	18.7	16.7	20.0	14.9	0.0	0.0	18.4	2.0	0.0	0.0	0.0	0.0
