time	mem usage	cput0	cput1	cput2	cput3	cput4	cput5	cput6	cput7	cput8	cput9	cput10	cput11	cput12	cput13	cput14	cput15	cput16	cput17	cput18	cput19	cput20	cput21	cput22	cput23	cput24	cput25	cput26	cput27	cput28	cput29	cput30	cput31
2020-12-19 23:33:03.120188	1.11	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	0.0	0.0	0.0	100.0
2020-12-19 23:33:03.622129	4.45	98.0	85.7	100.0	98.0	98.0	96.0	98.0	88.0	96.0	96.0	96.0	95.9	98.0	94.1	98.0	94.1	98.0	100.0	98.0	98.0	98.0	100.0	98.0	100.0	100.0	98.0	100.0	98.0	98.0	98.0	96.0	98.0
2020-12-19 23:33:04.123760	6.42	72.9	72.0	70.0	69.4	66.0	65.3	70.0	64.6	78.0	67.3	66.0	66.0	71.4	63.0	68.0	67.3	92.0	88.2	88.2	88.0	85.4	85.7	91.8	91.7	90.0	82.0	83.3	84.3	85.4	91.8	86.3	84.3
2020-12-19 23:33:04.625535	7.3	95.9	94.0	94.1	95.8	93.9	94.1	91.7	92.0	93.9	95.9	96.0	98.0	94.0	94.1	92.2	92.0	92.0	91.7	93.9	91.8	92.2	94.0	93.6	92.0	94.1	93.6	93.7	91.8	93.9	92.2	93.9	92.0
2020-12-19 23:33:05.126925	7.94	88.5	84.0	83.3	79.6	83.3	80.4	86.5	83.7	84.3	82.0	86.0	80.8	84.6	84.3	86.0	81.6	79.6	82.0	78.2	78.4	81.1	77.6	83.0	77.6	82.7	84.3	82.4	80.0	79.2	76.6	82.0	81.1
2020-12-19 23:33:05.628492	8.27	62.5	56.2	64.0	63.3	64.0	62.7	64.6	61.2	66.0	64.6	64.6	66.7	64.6	60.0	66.7	61.5	54.9	43.7	45.1	38.8	44.9	47.1	49.0	45.8	43.1	52.0	52.0	51.0	46.0	47.1	46.9	50.0
2020-12-19 23:33:06.129979	8.38	18.0	14.6	14.6	14.3	16.3	18.0	14.6	14.6	8.9	18.0	10.9	16.3	12.8	12.8	16.3	10.9	16.3	21.2	16.0	16.3	16.3	16.3	14.6	14.3	12.8	17.6	18.0	10.9	14.6	12.8	16.3	14.3
2020-12-19 23:33:06.631443	8.5	14.6	16.3	10.9	8.9	16.3	16.0	14.6	12.8	10.9	10.9	18.0	12.8	14.6	12.5	14.3	16.3	14.3	12.5	14.6	20.8	10.9	12.5	14.3	10.9	19.6	18.0	10.9	22.2	14.3	16.0	16.3	14.6
2020-12-19 23:33:07.132892	8.55	13.0	14.6	10.9	18.0	16.3	16.3	12.8	16.3	13.0	16.3	18.0	12.5	14.9	12.8	14.9	19.6	18.0	12.8	16.3	14.6	10.6	8.9	8.9	10.9	14.9	14.6	18.0	14.6	18.0	18.0	18.4	17.6
2020-12-19 23:33:07.634375	8.64	18.0	14.6	16.3	12.8	18.0	16.3	16.0	12.5	14.6	12.8	16.0	16.3	16.0	16.3	12.8	16.3	12.5	12.5	12.5	10.9	19.6	14.3	14.6	8.9	14.3	18.0	14.3	16.3	16.3	12.5	16.3	10.9
2020-12-19 23:33:08.135798	8.7	18.4	18.4	18.4	14.6	14.6	22.6	16.3	18.0	14.6	18.0	18.4	18.0	16.7	18.0	8.9	12.5	14.6	14.6	14.6	14.6	12.8	10.9	14.3	14.0	12.5	16.0	8.9	14.6	14.6	14.6	14.6	18.0
