time	mem usage	cput0	cput1	cput2	cput3	cput4	cput5	cput6	cput7	cput8	cput9	cput10	cput11	cput12	cput13	cput14	cput15	cput16	cput17	cput18	cput19	cput20	cput21	cput22	cput23	cput24	cput25	cput26	cput27	cput28	cput29	cput30	cput31
2020-12-19 22:54:36.514285	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-12-19 22:54:37.015749	5.61	96.1	94.2	94.1	94.2	96.0	92.0	96.0	92.3	91.8	86.3	96.1	80.4	95.9	89.6	90.0	87.5	94.0	53.2	90.0	70.0	98.0	68.6	92.3	68.6	20.0	23.5	22.0	21.6	23.1	20.4	22.0	22.4
2020-12-19 22:54:37.517217	6.19	98.0	98.0	98.0	96.0	96.1	96.1	98.0	96.1	98.0	96.0	98.0	96.0	98.0	98.0	100.0	98.0	40.0	78.0	38.3	29.2	75.5	29.8	87.8	48.0	2.0	4.0	0.0	2.0	2.0	6.0	52.0	7.7
2020-12-19 22:54:38.018461	6.65	98.0	98.0	98.0	98.0	98.0	97.9	98.0	98.0	98.0	97.9	96.0	98.0	98.0	96.0	98.0	98.0	0.0	33.3	5.9	8.3	38.0	6.5	32.0	0.0	4.0	3.9	0.0	0.0	2.0	0.0	4.0	6.0
2020-12-19 22:54:38.519798	6.95	92.0	89.8	91.8	91.7	92.0	91.7	91.7	91.8	93.9	91.8	93.6	94.0	92.0	91.3	94.0	93.5	0.0	0.0	0.0	21.6	21.6	20.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-12-19 22:54:39.021131	7.11	42.9	34.1	42.9	36.7	39.6	39.6	36.2	41.7	40.8	39.6	44.9	47.1	42.0	40.8	44.9	39.6	0.0	0.0	0.0	22.0	14.3	14.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.9
2020-12-19 22:54:39.522406	7.19	21.7	23.4	24.5	19.6	25.0	26.0	21.7	20.0	22.9	22.9	19.6	19.6	28.3	17.8	22.9	19.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-12-19 22:54:40.023721	7.46	30.0	22.9	18.2	24.5	17.8	19.1	22.9	26.9	24.5	21.3	30.2	19.6	21.3	19.1	20.8	16.7	0.0	0.0	0.0	21.6	18.7	18.7	0.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
2020-12-19 22:54:40.525042	7.47	26.1	34.0	31.4	23.9	29.4	34.0	30.0	28.6	30.6	25.5	29.2	30.8	31.4	25.5	27.1	23.9	0.0	0.0	0.0	28.6	34.7	32.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
2020-12-19 22:54:41.026374	7.47	27.1	27.7	23.9	20.5	31.4	21.7	29.4	28.6	21.7	30.0	25.0	30.0	28.0	27.1	31.4	27.1	0.0	0.0	0.0	5.9	3.9	30.6	27.7	31.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
