time	mem usage	cput0	cput1	cput2	cput3	cput4	cput5	cput6	cput7	cput8	cput9	cput10	cput11	cput12	cput13	cput14	cput15	cput16	cput17	cput18	cput19	cput20	cput21	cput22	cput23	cput24	cput25	cput26	cput27	cput28	cput29	cput30	cput31
2020-12-19 23:09:08.004341	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	100.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
2020-12-19 23:09:08.506415	2.55	84.0	72.0	62.7	58.0	69.4	58.0	58.0	58.0	100.0	96.1	100.0	100.0	100.0	80.0	100.0	98.0	100.0	100.0	100.0	98.0	90.4	96.1	98.0	98.0	100.0	70.6	100.0	68.6	88.2	88.0	88.2	70.0
2020-12-19 23:09:09.007903	6.06	78.0	76.5	76.0	76.5	76.0	76.5	76.9	74.5	87.5	77.6	76.0	74.0	76.5	76.9	74.0	70.6	92.0	90.2	90.2	92.2	90.2	88.2	94.1	92.0	42.2	2.0	60.8	60.0	8.5	62.0	64.0	6.0
2020-12-19 23:09:09.509376	6.78	98.0	96.1	96.1	95.9	93.7	96.1	95.8	98.0	98.0	94.0	96.1	95.9	95.9	96.0	95.9	97.9	98.0	96.0	98.0	98.0	96.0	97.9	95.9	94.1	26.9	6.0	0.0	75.5	6.1	0.0	76.6	20.0
2020-12-19 23:09:10.010924	7.35	92.2	92.2	89.8	89.8	94.0	94.0	89.8	92.0	89.1	93.8	92.0	92.0	92.0	92.3	92.0	90.0	88.0	87.8	89.8	89.8	88.5	86.0	88.2	84.4	8.0	4.3	2.0	20.0	0.0	0.0	10.4	0.0
2020-12-19 23:09:10.512482	7.72	77.6	76.5	82.4	77.4	79.2	78.0	77.6	75.5	79.6	76.6	80.4	77.1	76.0	75.5	75.0	79.2	59.2	52.2	65.3	61.2	60.4	59.2	58.3	56.0	2.0	12.0	4.2	0.0	2.0	4.0	0.0	0.0
2020-12-19 23:09:11.013983	7.79	22.0	14.6	16.7	18.4	14.6	16.3	14.6	20.0	14.6	14.6	12.8	14.9	14.6	12.8	16.7	12.8	16.7	15.2	13.0	21.6	23.1	17.0	16.7	14.9	0.0	20.0	0.0	0.0	0.0	22.0	0.0	0.0
2020-12-19 23:09:11.515320	7.88	16.7	21.6	17.0	20.0	20.0	18.4	23.1	18.4	14.9	20.0	13.0	19.6	16.7	14.9	16.3	18.4	14.9	13.0	18.4	14.9	16.7	18.4	11.1	18.4	0.0	8.3	6.1	0.0	0.0	14.9	2.0	0.0
2020-12-19 23:09:12.016744	7.99	18.4	13.0	13.0	18.4	20.0	14.9	13.0	13.0	18.4	14.6	18.0	14.9	16.7	13.0	11.1	14.9	14.9	16.7	14.9	11.1	16.7	20.0	13.0	22.0	6.1	0.0	4.0	0.0	0.0	6.1	0.0	0.0
2020-12-19 23:09:12.518180	8.34	25.5	25.0	22.9	22.9	27.5	26.0	20.8	22.4	22.4	24.5	20.8	22.4	18.8	11.1	17.0	14.9	16.3	11.8	10.4	12.5	10.9	10.0	10.6	17.6	4.0	0.0	4.0	2.0	2.0	0.0	0.0	4.0
2020-12-19 23:09:13.019701	8.38	20.4	17.0	20.8	24.0	24.0	25.5	17.4	20.4	22.4	17.0	22.4	17.4	22.0	25.5	17.4	24.0	17.4	24.5	24.5	24.0	24.0	15.6	24.0	24.0	2.0	0.0	14.6	0.0	2.1	0.0	0.0	22.0
2020-12-19 23:09:13.521246	8.39	28.8	15.6	28.3	19.1	24.5	22.4	17.4	22.0	17.4	26.0	25.5	24.0	14.0	22.9	20.8	21.3	27.5	29.6	24.0	22.4	24.0	20.8	17.8	26.0	0.0	0.0	0.0	0.0	22.4	0.0	0.0	24.0
2020-12-19 23:09:14.022652	8.39	19.6	21.3	28.8	22.0	20.8	21.3	25.5	25.5	22.4	19.1	28.3	24.5	19.1	29.6	24.0	24.0	25.5	24.5	19.6	22.4	24.5	24.5	30.2	21.3	20.0	0.0	5.9	0.0	0.0	0.0	2.0	20.8
2020-12-19 23:09:14.524074	8.41	28.8	28.3	26.0	22.9	27.5	19.1	24.5	24.0	27.5	29.6	24.5	24.0	21.3	21.3	25.5	22.9	17.8	27.5	19.6	21.3	27.5	24.5	27.5	22.4	0.0	0.0	14.3	0.0	8.3	0.0	0.0	19.6
2020-12-19 23:09:15.025639	8.48	24.5	27.5	26.9	28.8	25.5	22.9	20.8	19.1	26.9	25.5	25.5	24.5	20.8	17.4	22.9	22.4	22.9	19.6	19.6	25.5	22.4	26.0	22.4	28.8	24.5	0.0	0.0	0.0	0.0	0.0	0.0	20.8
2020-12-19 23:09:15.527154	8.49	17.8	15.6	24.5	24.5	20.8	25.0	24.0	25.5	24.5	19.1	24.0	27.5	24.0	22.9	28.3	17.8	24.0	24.0	15.9	22.4	28.8	24.0	27.5	28.3	0.0	0.0	24.0	0.0	0.0	0.0	0.0	22.4
2020-12-19 23:09:16.028685	8.49	24.5	24.5	26.0	27.5	24.0	24.0	26.4	25.5	25.0	26.9	24.5	26.9	22.9	22.9	27.5	18.7	19.6	19.6	22.9	22.9	26.9	26.0	22.9	20.8	0.0	0.0	18.7	0.0	5.9	0.0	0.0	15.6
2020-12-19 23:09:16.530252	8.53	24.5	17.4	22.4	20.8	22.0	25.0	19.1	24.0	22.9	24.0	20.8	22.0	18.7	25.5	23.5	25.5	19.6	20.8	19.1	27.5	24.0	28.8	17.4	20.8	0.0	0.0	0.0	0.0	0.0	0.0	13.6	24.0
2020-12-19 23:09:17.031974	8.55	20.0	16.7	18.4	20.0	16.7	18.4	13.0	18.7	21.6	13.0	20.0	21.6	15.2	25.0	18.7	23.1	21.6	18.4	22.0	22.0	23.5	22.0	18.7	22.4	18.0	0.0	11.1	0.0	0.0	0.0	2.0	2.0
2020-12-19 23:09:17.533578	8.59	15.2	13.0	18.4	13.3	14.9	21.2	12.8	14.9	14.9	16.7	16.7	11.1	21.2	23.1	21.6	16.7	23.1	18.8	14.9	18.4	17.0	20.0	16.7	21.6	16.7	0.0	13.0	0.0	2.0	0.0	0.0	0.0
2020-12-19 23:09:18.035273	8.62	23.1	20.0	16.7	18.4	14.9	14.9	18.4	16.3	13.0	18.0	18.4	23.1	21.6	18.4	20.0	20.0	17.0	20.0	20.4	17.0	18.4	18.4	20.4	14.9	18.4	0.0	21.6	0.0	0.0	0.0	0.0	0.0
2020-12-19 23:09:18.536950	8.64	13.0	16.7	14.9	16.7	22.6	18.0	14.9	20.0	20.0	16.7	21.6	20.0	14.9	18.4	21.6	11.1	18.4	21.6	20.0	23.1	21.6	15.2	28.6	23.5	16.3	0.0	18.0	0.0	0.0	0.0	0.0	0.0
2020-12-19 23:09:19.038575	8.65	16.7	16.7	23.1	16.3	16.7	18.4	20.0	14.6	12.8	21.2	18.4	18.4	18.0	18.4	20.0	14.9	23.5	9.1	14.9	23.1	20.4	16.7	18.7	14.9	0.0	0.0	14.9	0.0	16.7	0.0	2.0	0.0
2020-12-19 23:09:19.540295	8.71	17.0	16.7	24.5	11.4	18.4	13.0	20.0	20.0	18.4	18.4	16.3	14.6	18.4	21.6	20.0	21.6	21.6	16.7	14.9	18.7	20.4	20.4	20.4	18.4	0.0	0.0	13.0	0.0	14.9	0.0	0.0	0.0
